H,C,x,y
10Y,2,0.3476,0.3732
10Y,4,0.3871,0.4321
10Y,6,0.419,0.4795
10Y,8,0.443,0.5153
10Y,10,0.462,0.543
10Y,12,0.473,0.562
2.5GY,2,0.3382,0.3706
2.5GY,4,0.3708,0.4329
2.5GY,6,0.3968,0.4857
2.5GY,8,0.4174,0.53
2.5GY,10,0.433,0.568
2.5GY,12,0.443,0.594
5GY,2,0.3312,0.3678
5GY,4,0.3538,0.4284
5GY,6,0.3718,0.4852
5GY,8,0.3868,0.5384
5GY,10,0.3983,0.585
5GY,12,0.407,0.619
5GY,14,0.415,0.659
7.5GY,2,0.3185,0.3604
7.5GY,4,0.3281,0.4157
7.5GY,6,0.3355,0.4739
7.5GY,8,0.34,0.5348
7.5GY,10,0.3395,0.5913
7.5GY,12,0.3348,0.6468
7.5GY,14,0.327,0.698
7.5GY,16,0.315,0.757
7.5GY,18,0.303,0.809
10GY,2,0.3109,0.355
10GY,4,0.31,0.4018
10GY,6,0.3069,0.455
10GY,8,0.3008,0.5095
10GY,10,0.2908,0.5672
10GY,12,0.2758,0.6282
10GY,14,0.259,0.6858
10GY,16,0.2422,0.736
10GY,18,0.221,0.793
10GY,20,0.192,0.86
10GY,22,0.165,0.917
10GY,24,0.142,0.964
10GY,26,0.106,1.028
10GY,28,0.058,1.1
2.5G,2,0.3012,0.347
2.5G,4,0.2891,0.3821
2.5G,6,0.2735,0.4215
2.5G,8,0.2561,0.4597
2.5G,10,0.2355,0.5006
2.5G,12,0.2128,0.5425
2.5G,14,0.1909,0.5779
2.5G,16,0.1682,0.6111
2.5G,18,0.1446,0.6431
2.5G,20,0.123,0.6706
2.5G,22,0.1009,0.6975
2.5G,24,0.076,0.725
2.5G,26,0.0528,0.7502
2.5G,28,0.028,0.78
2.5G,30,-0.005,0.816
5G,2,0.2959,0.3417
5G,4,0.2781,0.3704
5G,6,0.2581,0.3992
5G,8,0.2359,0.4266
5G,10,0.2115,0.4532
5G,12,0.1843,0.4807
5G,14,0.1627,0.5015
5G,16,0.1402,0.5214
5G,18,0.1188,0.54
5G,20,0.1018,0.5543
5G,22,0.0841,0.5684
5G,24,0.0614,0.5857
5G,26,0.0407,0.601
5G,28,0.02,0.618
5G,30,-0.003,0.632
7.5G,2,0.2919,0.3371
7.5G,4,0.2702,0.3602
7.5G,6,0.2467,0.3822
7.5G,8,0.2232,0.4022
7.5G,10,0.1989,0.4219
7.5G,12,0.1706,0.4419
7.5G,14,0.15,0.4562
7.5G,16,0.1293,0.4703
7.5G,18,0.1086,0.4842
7.5G,20,0.0928,0.4942
7.5G,22,0.077,0.504
7.5G,24,0.0581,0.5151
7.5G,26,0.0392,0.5258
7.5G,28,0.02,0.536
7.5G,30,0.002,0.546
10G,2,0.288,0.3327
10G,4,0.2628,0.3498
10G,6,0.2374,0.3655
10G,8,0.2124,0.3799
10G,10,0.1876,0.3933
10G,12,0.1602,0.407
10G,14,0.1398,0.4168
10G,16,0.1212,0.4245
10G,18,0.1006,0.433
10G,20,0.085,0.4388
10G,22,0.0702,0.444
10G,24,0.0553,0.4492
10G,26,0.04,0.4545
10G,28,0.023,0.46
10G,30,0.008,0.465
2.5BG,2,0.284,0.327
2.5BG,4,0.2552,0.3375
2.5BG,6,0.2278,0.3463
2.5BG,8,0.2006,0.354
2.5BG,10,0.1738,0.36
2.5BG,12,0.1492,0.3649
2.5BG,14,0.1283,0.3688
2.5BG,16,0.1102,0.372
2.5BG,18,0.0915,0.3754
2.5BG,20,0.0768,0.3773
2.5BG,22,0.0636,0.3788
2.5BG,24,0.051,0.38
2.5BG,26,0.038,0.382
2.5BG,28,0.025,0.383
5BG,2,0.2799,0.3208
5BG,4,0.248,0.3232
5BG,6,0.2182,0.324
5BG,8,0.189,0.3234
5BG,10,0.1618,0.3219
5BG,12,0.1379,0.3198
5BG,14,0.117,0.317
5BG,16,0.0992,0.3141
5BG,18,0.0828,0.3108
5BG,20,0.0675,0.3075
5BG,22,0.056,0.305
5BG,24,0.047,0.304
5BG,26,0.036,0.303
7.5BG,2,0.2764,0.3148
7.5BG,4,0.2429,0.3108
7.5BG,6,0.2113,0.3052
7.5BG,8,0.1815,0.2985
7.5BG,10,0.154,0.291
7.5BG,12,0.1298,0.284
7.5BG,14,0.1092,0.2774
7.5BG,16,0.0922,0.2718
7.5BG,18,0.0768,0.2667
7.5BG,20,0.065,0.262
7.5BG,22,0.054,0.258
7.5BG,24,0.045,0.255
10BG,2,0.274,0.3091
10BG,4,0.2384,0.2984
10BG,6,0.2065,0.2863
10BG,8,0.176,0.273
10BG,10,0.148,0.26
10BG,12,0.1248,0.2484
10BG,14,0.1033,0.2376
10BG,16,0.0888,0.2298
10BG,18,0.073,0.221
10BG,20,0.062,0.214
10BG,22,0.051,0.207
2.5B,2,0.2727,0.3038
2.5B,4,0.236,0.2872
2.5B,6,0.2048,0.2708
2.5B,8,0.1737,0.2524
2.5B,10,0.1463,0.2354
2.5B,12,0.1247,0.2209
2.5B,14,0.1027,0.2057
2.5B,16,0.09,0.1973
2.5B,18,0.073,0.184
2.5B,20,0.062,0.177
5B,2,0.2723,0.2992
5B,4,0.2363,0.2782
5B,6,0.206,0.2572
5B,8,0.1759,0.2345
5B,10,0.1512,0.2148
5B,12,0.1299,0.1963
5B,14,0.1098,0.1785
5B,16,0.094,0.163
5B,18,0.079,0.15
7.5B,2,0.2733,0.2947
7.5B,4,0.2388,0.2704
7.5B,6,0.2102,0.247
7.5B,8,0.1821,0.2232
7.5B,10,0.1601,0.2028
7.5B,12,0.1393,0.1837
7.5B,14,0.1204,0.1655
7.5B,16,0.102,0.149
7.5B,18,0.091,0.138
10B,2,0.2753,0.291
10B,4,0.2429,0.2648
10B,6,0.2157,0.2407
10B,8,0.1893,0.216
10B,10,0.1681,0.1954
10B,12,0.1487,0.176
10B,14,0.131,0.158
10B,16,0.1155,0.1416
10B,18,0.103,0.128
10B,20,0.092,0.117
2.5PB,2,0.2782,0.2876
2.5PB,4,0.2487,0.2597
2.5PB,6,0.2235,0.2343
2.5PB,8,0.1995,0.2094
2.5PB,10,0.1805,0.1888
2.5PB,12,0.1634,0.1698
2.5PB,14,0.1473,0.1513
2.5PB,16,0.1336,0.1349
2.5PB,18,0.1218,0.1208
2.5PB,20,0.112,0.108
2.5PB,22,0.104,0.096
2.5PB,24,0.098,0.089
5PB,2,0.2816,0.2842
5PB,4,0.2562,0.256
5PB,6,0.2325,0.23
5PB,8,0.2103,0.205
5PB,10,0.1925,0.1843
5PB,12,0.1773,0.1659
5PB,14,0.1627,0.1479
5PB,16,0.1504,0.1317
5PB,18,0.1392,0.1167
5PB,20,0.1288,0.1027
5PB,22,0.122,0.092
5PB,24,0.118,0.084
5PB,26,0.115,0.078
5PB,28,0.111,0.073
5PB,30,0.108,0.068
5PB,32,0.106,0.064
5PB,34,0.104,0.06
5PB,36,0.102,0.055
5PB,38,0.098,0.048
5PB,40,0.096,0.044
7.5PB,2,0.2861,0.2819
7.5PB,4,0.2657,0.2528
7.5PB,6,0.2471,0.2266
7.5PB,8,0.2304,0.2023
7.5PB,10,0.2158,0.1811
7.5PB,12,0.2037,0.1629
7.5PB,14,0.1941,0.1468
7.5PB,16,0.1861,0.1316
7.5PB,18,0.1798,0.1185
7.5PB,20,0.1742,0.1058
7.5PB,22,0.1713,0.098
7.5PB,24,0.1684,0.0899
7.5PB,26,0.1659,0.0825
7.5PB,28,0.164,0.077
7.5PB,30,0.162,0.072
7.5PB,32,0.16,0.066
7.5PB,34,0.158,0.06
7.5PB,36,0.157,0.054
7.5PB,38,0.155,0.049
7.5PB,40,0.153,0.044
10PB,2,0.2911,0.2804
10PB,4,0.2759,0.2522
10PB,6,0.2618,0.2263
10PB,8,0.2497,0.2038
10PB,10,0.2388,0.1837
10PB,12,0.2298,0.1659
10PB,14,0.222,0.1503
10PB,16,0.217,0.1373
10PB,18,0.212,0.1256
10PB,20,0.2075,0.114
10PB,22,0.2048,0.1064
10PB,24,0.202,0.0985
10PB,26,0.1994,0.0904
10PB,28,0.1971,0.084
10PB,30,0.1952,0.0778
10PB,32,0.192,0.071
10PB,34,0.191,0.064
10PB,36,0.189,0.058
10PB,38,0.187,0.052
10PB,40,0.184,0.046
2.5P,2,0.2962,0.2807
2.5P,4,0.2855,0.2531
2.5P,6,0.2763,0.23
2.5P,8,0.2685,0.2089
2.5P,10,0.2619,0.1903
2.5P,12,0.2559,0.173
2.5P,14,0.2509,0.1585
2.5P,16,0.2467,0.1452
